"sig1.x","sig1.y","sig2.x","sig2.y","sig3.x","sig3.y"
"1",-284.9896,-140.2292,-301.4167,-71.3021,-288.3125,-71.7604
"2",-269.9896,-133.2292,-288.4167,-64.3021,-265.3125,-58.7604
"3",-249.9896,-122.2292,-266.4167,-51.3021,-242.3125,-45.7604
"4",-228.9896,-110.2292,-241.4167,-38.3021,-220.3125,-32.7604
"5",-207.9896,-98.2292,-215.4167,-23.3021,-199.3125,-20.7604
"6",-185.9896,-85.2292,-214.4167,-23.3021,-177.3125,-7.7604
"7",-162.9896,-71.2292,-214.4167,-23.3021,-156.3125,4.2396
"8",-161.9896,-71.2292,-195.4167,-12.3021,-134.3125,17.2396
"9",-161.9896,-71.2292,-174.4167,-1.3021,-113.3125,29.2396
"10",-153.9896,-66.2292,-152.4167,10.6979,-91.3125,41.2396
"11",-134.9896,-55.2292,-130.4167,22.6979,-70.3125,53.2396
"12",-115.9896,-43.2292,-108.4167,35.6979,-50.3125,65.2396
"13",-95.9896,-31.2292,-74.4167,54.6979,-29.3125,77.2396
"14",-75.9896,-18.2292,-28.4167,81.6979,-8.3125,89.2396
"15",-55.9896,-5.2292,18.5833,108.6979,11.6875,101.2396
"16",-26.9896,14.7708,62.5833,135.6979,31.6875,113.2396
"17",13.0104,41.7708,105.5833,162.6979,51.6875,125.2396
"18",53.0104,70.7708,143.5833,186.6979,71.6875,137.2396
"19",91.0104,99.7708,161.5833,198.6979,90.6875,149.2396
"20",129.0104,130.7708,161.5833,198.6979,109.6875,161.2396
"21",165.0104,160.7708,161.5833,198.6979,128.6875,173.2396
"22",185.0104,179.7708,176.5833,208.6979,146.6875,185.2396
"23",202.0104,194.7708,194.5833,221.6979,164.6875,197.2396
"24",227.0104,218.7708,212.5833,233.6979,182.6875,209.2396
"25",252.0104,245.7708,227.5833,245.6979,198.6875,221.2396
"26",257.0104,250.7708,239.5833,257.6979,214.6875,233.2396
"27",262.0104,258.7708,243.5833,262.6979,226.6875,246.2396
"28",264.0104,273.7708,245.5833,274.6979,227.6875,260.2396
"29",239.0104,279.7708,224.5833,284.6979,195.6875,261.2396
"30",213.0104,275.7708,206.5833,283.6979,166.6875,253.2396
"31",187.0104,267.7708,175.5833,276.6979,142.6875,241.2396
"32",164.0104,256.7708,128.5833,257.6979,124.6875,228.2396
"33",143.0104,244.7708,86.5833,227.6979,111.6875,213.2396
"34",125.0104,231.7708,57.5833,194.6979,100.6875,197.2396
"35",109.0104,219.7708,40.5833,161.6979,92.6875,182.2396
"36",95.0104,206.7708,31.5833,129.6979,85.6875,166.2396
"37",75.0104,184.7708,28.5833,98.6979,80.6875,151.2396
"38",57.0104,158.7708,30.5833,70.6979,76.6875,135.2396
"39",48.0104,141.7708,34.5833,43.6979,73.6875,119.2396
"40",48.0104,141.7708,39.5833,17.6979,70.6875,104.2396
"41",48.0104,141.7708,44.5833,-9.3021,69.6875,88.2396
"42",44.0104,132.7708,45.5833,-17.3021,68.6875,73.2396
"43",40.0104,120.7708,45.5833,-17.3021,67.6875,57.2396
"44",37.0104,109.7708,45.5833,-17.3021,68.6875,42.2396
"45",37.0104,108.7708,48.5833,-28.3021,69.6875,26.2396
"46",37.0104,108.7708,50.5833,-40.3021,70.6875,11.2396
"47",37.0104,107.7708,51.5833,-52.3021,72.6875,-4.7604
"48",35.0104,95.7708,51.5833,-52.3021,74.6875,-19.7604
"49",33.0104,83.7708,51.5833,-52.3021,76.6875,-34.7604
"50",33.0104,74.7708,52.5833,-56.3021,78.6875,-49.7604
"51",33.0104,74.7708,54.5833,-69.3021,80.6875,-64.7604
"52",33.0104,74.7708,55.5833,-82.3021,82.6875,-79.7604
"53",33.0104,65.7708,55.5833,-86.3021,84.6875,-95.7604
"54",34.0104,51.7708,55.5833,-86.3021,85.6875,-110.7604
"55",36.0104,29.7708,56.5833,-92.3021,87.6875,-124.7604
"56",41.0104,-2.2292,57.5833,-109.3021,88.6875,-139.7604
"57",46.0104,-37.2292,57.5833,-126.3021,88.6875,-154.7604
"58",49.0104,-75.2292,57.5833,-144.3021,88.6875,-169.7604
"59",50.0104,-116.2292,54.5833,-175.3021,85.6875,-184.7604
"60",46.0104,-157.2292,51.5833,-198.3021,80.6875,-199.7604
"61",36.0104,-193.2292,51.5833,-199.3021,70.6875,-213.7604
"62",28.0104,-208.2292,46.5833,-214.3021,56.6875,-227.7604
"63",27.0104,-210.2292,33.5833,-233.3021,36.6875,-239.7604
"64",21.0104,-218.2292,5.5833,-247.3021,12.6875,-250.7604
"65",12.0104,-228.2292,-37.4167,-255.3021,-14.3125,-258.7604
"66",-2.9896,-238.2292,-82.4167,-252.3021,-44.3125,-263.7604
"67",-36.9896,-250.2292,-106.4167,-244.3021,-76.3125,-264.7604
"68",-58.9896,-253.2292,-106.4167,-244.3021,-107.3125,-260.7604
"69",-94.9896,-251.2292,-124.4167,-233.3021,-134.3125,-251.7604
"70",-118.9896,-236.2292,-145.4167,-207.3021,-157.3125,-239.7604
"71",-125.9896,-210.2292,-153.4167,-177.3021,-174.3125,-225.7604
"72",-125.9896,-192.2292,-152.4167,-159.3021,-188.3125,-211.7604
"73",-123.9896,-183.2292,-149.4167,-141.3021,-198.3125,-196.7604
"74",-123.9896,-183.2292,-143.4167,-123.3021,-204.3125,-180.7604
"75",-121.9896,-173.2292,-134.4167,-106.3021,-207.3125,-165.7604
"76",-115.9896,-155.2292,-122.4167,-88.3021,-207.3125,-149.7604
"77",-111.9896,-145.2292,-115.4167,-79.3021,-204.3125,-134.7604
"78",-111.9896,-145.2292,-115.4167,-79.3021,-198.3125,-118.7604
"79",-110.9896,-143.2292,-114.4167,-77.3021,-189.3125,-103.7604
"80",-102.9896,-125.2292,-101.4167,-63.3021,-178.3125,-88.7604
"81",-92.9896,-109.2292,-86.4167,-49.3021,-165.3125,-74.7604
"82",-88.9896,-101.2292,-72.4167,-35.3021,-151.3125,-60.7604
"83",-88.9896,-101.2292,-57.4167,-23.3021,-135.3125,-46.7604
"84",-88.9896,-101.2292,-41.4167,-11.3021,-118.3125,-33.7604
"85",-80.9896,-90.2292,-38.4167,-9.3021,-100.3125,-20.7604
"86",-69.9896,-75.2292,-38.4167,-9.3021,-81.3125,-7.7604
"87",-58.9896,-61.2292,-38.4167,-9.3021,-61.3125,4.2396
"88",-46.9896,-48.2292,-24.4167,0.6979,-41.3125,16.2396
"89",-34.9896,-36.2292,-8.4167,10.6979,-20.3125,27.2396
"90",-20.9896,-24.2292,5.5833,18.6979,1.6875,38.2396
"91",-7.9896,-14.2292,5.5833,18.6979,22.6875,49.2396
"92",7.0104,-3.2292,5.5833,18.6979,44.6875,59.2396
"93",23.0104,5.7708,16.5833,24.6979,67.6875,69.2396
"94",40.0104,15.7708,38.5833,35.6979,89.6875,78.2396
"95",61.0104,25.7708,82.5833,53.6979,112.6875,87.2396
"96",104.0104,39.7708,139.5833,65.6979,137.6875,93.2396
